Pos,Team,Matches,Points,Rating
1,Australia Women,15,2436,162
2,India Women,15,1812,121
3,England Women,14,1670,119
4,South Africa Women,16,1713,107
5,New Zealand Women,15,1384,92
6,West Indies Women,12,1025,85
7,Pakistan Women,12,927,77
8,Bangladesh Women,5,306,61
9,Sri Lanka Women,11,519,47
10,Ireland Women,2,25,13
